,_id,count,display_url,"function (description, open = """", blocking = TRUE, encoding = getOption(""encoding""), method = getOption(""url.method"", ""default"")) 
{
    method <- match.arg(method, c(""default"", ""internal"", ""libcurl"", ""wininet""))
    .Internal(url(description, open, blocking, encoding, method))
}"
106,http://www.newsbiscuit.com/2018/02/08/cheddar-man-clearly-fit-for-work-says-atos/,61,http://www.newsbiscuit.com/2018/02/08/cheddar-man-clearly-fit-for-work-says-atos/,http://www.newsbiscuit.com/2018/02/08/cheddar-man-clearly-fit-for-work-says-atos/
107,https://twitter.com/TwitterMoments/status/961134036528910336,61,https://twitter.com/TwitterMoments/status/961134036528910336,https://twitter.com/TwitterMoments/status/961134036528910336
108,http://bbc.in/2C1N17S,60,http://bbc.in/2C1N17S,http://bbc.in/2C1N17S
109,http://www.thepoke.co.uk/2018/02/07/daily-mail-comments-cheddar-man-story-dont-disappoint/,60,http://www.thepoke.co.uk/2018/02/07/daily-mail-comments-cheddar-man-story-dont-disappoint/,http://www.thepoke.co.uk/2018/02/07/daily-mail-comments-cheddar-man-story-dont-disappoint/
110,anonymised,59,anonymised,anonymised
111,http://ift.tt/2E8zu0e,59,http://ift.tt/2E8zu0e,http://ift.tt/2E8zu0e
112,https://www.theguardian.com/science/2018/feb/10/cheddar-man-changed-way-we-think-about-ancestors?CMP=share_btn_tw,59,https://www.theguardian.com/science/2018/feb/10/cheddar-man-changed-way-we-think-about-ancestors?CMP=share_btn_tw,https://www.theguardian.com/science/2018/feb/10/cheddar-man-changed-way-we-think-about-ancestors?CMP=share_btn_tw
113,https://www.newscientist.com/article/2161867-ancient-dark-skinned-briton-cheddar-man-find-may-not-be-true/amp/?__twitter_impression=true,59,https://www.newscientist.com/article/2161867-ancient-dark-skinned-briton-cheddar-man-find-may-not-be-true/amp/?__twitter_impression=true,https://www.newscientist.com/article/2161867-ancient-dark-skinned-briton-cheddar-man-find-may-not-be-true/amp/?__twitter_impression=true
114,http://wef.ch/2EtF910,59,http://wef.ch/2EtF910,http://wef.ch/2EtF910
115,anonymised,58,anonymised,anonymised
116,https://www.livescience.com/61701-cheddar-man-great-britain.html,58,https://www.livescience.com/61701-cheddar-man-great-britain.html,https://www.livescience.com/61701-cheddar-man-great-britain.html
117,https://www.nottinghampost.com/news/uk-world-news/cheddar-man-skeleton-reveals-dark-1181015,58,https://www.nottinghampost.com/news/uk-world-news/cheddar-man-skeleton-reveals-dark-1181015,https://www.nottinghampost.com/news/uk-world-news/cheddar-man-skeleton-reveals-dark-1181015
118,http://bit.ly/2FRmUmD,58,http://bit.ly/2FRmUmD,http://bit.ly/2FRmUmD
119,https://twitter.com/talkRADIO/status/961244439820857349,58,https://twitter.com/talkRADIO/status/961244439820857349,https://twitter.com/talkRADIO/status/961244439820857349
120,https://twitter.com/nowthisnews/status/961295519304699904,57,https://twitter.com/nowthisnews/status/961295519304699904,https://twitter.com/nowthisnews/status/961295519304699904
121,anonymised,57,anonymised,anonymised
122,anonymised,56,anonymised,anonymised
123,http://www.afr.com/news/world/we-were-black-10000yearold-cheddar-man-a-rude-wake-up-for-brits-20180208-h0vs83,56,http://www.afr.com/news/world/we-were-black-10000yearold-cheddar-man-a-rude-wake-up-for-brits-20180208-h0vs83,http://www.afr.com/news/world/we-were-black-10000yearold-cheddar-man-a-rude-wake-up-for-brits-20180208-h0vs83
124,https://redicemembers.com,56,https://redicemembers.com,https://redicemembers.com
125,anonymised,56,anonymised,anonymised
126,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=Share_AndroidApp_Tweet,54,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=Share_AndroidApp_Tweet,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=Share_AndroidApp_Tweet
127,https://amp.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?__twitter_impression=true,54,https://amp.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?__twitter_impression=true,https://amp.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?__twitter_impression=true
128,https://www.derbytelegraph.co.uk/news/uk-world-news/cheddar-man-1180659,54,https://www.derbytelegraph.co.uk/news/uk-world-news/cheddar-man-1180659,https://www.derbytelegraph.co.uk/news/uk-world-news/cheddar-man-1180659
129,anonymised,53,anonymised,anonymised
130,https://twitter.com/DavidLammy/status/961223010047930368,52,https://twitter.com/DavidLammy/status/961223010047930368,https://twitter.com/DavidLammy/status/961223010047930368
131,https://news.nationalgeographic.com/2018/02/ancient-face-cheddar-man-reconstructed-dna-spd/,52,https://news.nationalgeographic.com/2018/02/ancient-face-cheddar-man-reconstructed-dna-spd/,https://news.nationalgeographic.com/2018/02/ancient-face-cheddar-man-reconstructed-dna-spd/
132,anonymised,51,anonymised,anonymised
133,https://trib.al/0Wck4Tq,51,https://trib.al/0Wck4Tq,https://trib.al/0Wck4Tq
134,https://www.nouvelobs.com/sciences/20180207.OBS1896/cheddar-man-le-plus-vieux-britannique-de-l-histoire-etait-noir.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#link_time=1518038542,50,https://www.nouvelobs.com/sciences/20180207.OBS1896/cheddar-man-le-plus-vieux-britannique-de-l-histoire-etait-noir.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#link_time=1518038542,https://www.nouvelobs.com/sciences/20180207.OBS1896/cheddar-man-le-plus-vieux-britannique-de-l-histoire-etait-noir.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#link_time=1518038542
135,https://bnp.org.uk/not-even-close-knowing-ancient-cheddar-man-brit-black/,50,https://bnp.org.uk/not-even-close-knowing-ancient-cheddar-man-brit-black/,https://bnp.org.uk/not-even-close-knowing-ancient-cheddar-man-brit-black/
136,https://www.defendevropa.org/2018/population-replacement/cheese-whine-cheddar-man-migrant-avatar/,50,https://www.defendevropa.org/2018/population-replacement/cheese-whine-cheddar-man-migrant-avatar/,https://www.defendevropa.org/2018/population-replacement/cheese-whine-cheddar-man-migrant-avatar/
137,http://www.sci-tech-today.com/news/Cheddar-Man--Dark-Skin--Blue-Eyes/story.xhtml?story_id=0200014PWBWK,50,http://www.sci-tech-today.com/news/Cheddar-Man--Dark-Skin--Blue-Eyes/story.xhtml?story_id=0200014PWBWK,http://www.sci-tech-today.com/news/Cheddar-Man--Dark-Skin--Blue-Eyes/story.xhtml?story_id=0200014PWBWK
138,https://twitter.com/guardian/status/961138796317364224,49,https://twitter.com/guardian/status/961138796317364224,https://twitter.com/guardian/status/961138796317364224
139,anonymised,49,anonymised,anonymised
140,https://twitter.com/twittermoments/status/961134036528910336,49,https://twitter.com/twittermoments/status/961134036528910336,https://twitter.com/twittermoments/status/961134036528910336
